,name,mass,fall,year,reclat,reclong,GeoLocation
0,Aachen,21.0,Fell,1880.0,50.775,6.08333,"(50.775000, 6.083330)"
1,Aarhus,720.0,Fell,1951.0,56.18333,10.23333,"(56.183330, 10.233330)"
2,Abee,107000.0,Fell,1952.0,54.21667,-113.0,"(54.216670, -113.000000)"
3,Acapulco,1914.0,Fell,1976.0,16.88333,-99.9,"(16.883330, -99.900000)"
4,Achiras,780.0,Fell,1902.0,-33.16667,-64.95,"(-33.166670, -64.950000)"
5,Adhi Kot,4239.0,Fell,1919.0,32.1,71.8,"(32.100000, 71.800000)"
6,Adzhi-Bogdo (stone),910.0,Fell,1949.0,44.83333,95.16667,"(44.833330, 95.166670)"
7,Agen,30000.0,Fell,1814.0,44.21667,0.61667,"(44.216670, 0.616670)"
8,Aguada,1620.0,Fell,1930.0,-31.6,-65.23333,"(-31.600000, -65.233330)"
9,Aguila Blanca,1440.0,Fell,1920.0,-30.86667,-64.55,"(-30.866670, -64.550000)"
10,Aioun el Atrouss,1000.0,Fell,1974.0,16.39806,-9.57028,"(16.398060, -9.570280)"
11,Aïr,24000.0,Fell,1925.0,19.08333,8.38333,"(19.083330, 8.383330)"
13,Akaba,779.0,Fell,1949.0,29.51667,35.05,"(29.516670, 35.050000)"
14,Akbarpur,1800.0,Fell,1838.0,29.71667,77.95,"(29.716670, 77.950000)"
15,Akwanga,3000.0,Fell,1959.0,8.91667,8.43333,"(8.916670, 8.433330)"
16,Akyumak,50000.0,Fell,1981.0,39.91667,42.81667,"(39.916670, 42.816670)"
17,Al Rais,160.0,Fell,1957.0,24.41667,39.51667,"(24.416670, 39.516670)"
18,Al Zarnkh,700.0,Fell,2001.0,13.66033,28.96,"(13.660330, 28.960000)"
19,Alais,6000.0,Fell,1806.0,44.11667,4.08333,"(44.116670, 4.083330)"
20,Albareto,2000.0,Fell,1766.0,44.65,11.01667,"(44.650000, 11.016670)"
21,Alberta,625.0,Fell,1949.0,2.0,22.66667,"(2.000000, 22.666670)"
22,Alby sur Chéran,252.0,Fell,2002.0,45.82133,6.01533,"(45.821330, 6.015330)"
23,Aldsworth,700.0,Fell,1835.0,51.78333,-1.78333,"(51.783330, -1.783330)"
24,Aleppo,3200.0,Fell,1873.0,36.23333,37.13333,"(36.233330, 37.133330)"
25,Alessandria,908.0,Fell,1860.0,44.88333,8.75,"(44.883330, 8.750000)"
26,Alexandrovsky,9251.0,Fell,1900.0,50.95,31.81667,"(50.950000, 31.816670)"
27,Alfianello,228000.0,Fell,1883.0,45.26667,10.15,"(45.266670, 10.150000)"
28,Allegan,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.533330, -85.883330)"
29,Allende,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.966670, -105.316670)"
30,Almahata Sitta,3950.0,Fell,2008.0,20.74575,32.41275,"(20.745750, 32.412750)"
31,Alta'ameem,6000.0,Fell,1977.0,35.27333,44.21556,"(35.273330, 44.215560)"
32,Ambapur Nagla,6400.0,Fell,1895.0,27.66667,78.25,"(27.666670, 78.250000)"
33,Andhara,2700.0,Fell,1880.0,26.58333,85.56667,"(26.583330, 85.566670)"
34,Andover,3200.0,Fell,1898.0,44.61667,-70.75,"(44.616670, -70.750000)"
35,Andreevka,600.0,Fell,1969.0,48.7,37.5,"(48.700000, 37.500000)"
36,Andura,17900.0,Fell,1939.0,20.88333,76.86667,"(20.883330, 76.866670)"
39,Angra dos Reis (stone),1500.0,Fell,1869.0,-22.96667,-44.31667,"(-22.966670, -44.316670)"
40,Ankober,6500.0,Fell,1942.0,9.53333,39.71667,"(9.533330, 39.716670)"
41,Anlong,2500.0,Fell,1971.0,25.15,105.18333,"(25.150000, 105.183330)"
42,Aomori,320.0,Fell,1984.0,40.81056,140.78556,"(40.810560, 140.785560)"
43,Appley Bridge,15000.0,Fell,1914.0,53.58333,-2.71667,"(53.583330, -2.716670)"
44,Apt,3200.0,Fell,1803.0,43.86667,5.38333,"(43.866670, 5.383330)"
45,Arbol Solo,810.0,Fell,1954.0,-33.0,-66.0,"(-33.000000, -66.000000)"
46,Archie,5070.0,Fell,1932.0,38.5,-94.3,"(38.500000, -94.300000)"
47,Arroyo Aguiar,7450.0,Fell,1950.0,-31.41667,-60.66667,"(-31.416670, -60.666670)"
48,Asco,41.0,Fell,1805.0,42.45,9.03333,"(42.450000, 9.033330)"
49,Ash Creek,9500.0,Fell,2009.0,31.805,-97.01,"(31.805000, -97.010000)"
50,Ashdon,1300.0,Fell,1923.0,52.05,0.3,"(52.050000, 0.300000)"
51,Assisi,2000.0,Fell,1886.0,43.03333,12.55,"(43.033330, 12.550000)"
52,Atarra,1280.0,Fell,1920.0,25.25417,80.625,"(25.254170, 80.625000)"
53,Atemajac,94.2,Fell,1896.0,20.06667,-103.66667,"(20.066670, -103.666670)"
54,Athens,265.0,Fell,1933.0,34.75,-87.0,"(34.750000, -87.000000)"
55,Atoka,1384.2,Fell,1945.0,34.31667,-96.15,"(34.316670, -96.150000)"
56,Aubres,800.0,Fell,1836.0,44.38333,5.16667,"(44.383330, 5.166670)"
57,Aumale,50000.0,Fell,1865.0,36.16667,3.66667,"(36.166670, 3.666670)"
58,Aumieres,2000.0,Fell,1842.0,44.33333,3.23333,"(44.333330, 3.233330)"
59,Ausson,50000.0,Fell,1858.0,43.08333,0.58333,"(43.083330, 0.583330)"
60,Avanhandava,9330.0,Fell,1952.0,-21.46028,-49.95083,"(-21.460280, -49.950830)"
61,Avce,1230.0,Fell,1908.0,46.0,13.5,"(46.000000, 13.500000)"
62,Avilez,146.0,Fell,1855.0,25.0,-103.5,"(25.000000, -103.500000)"
63,Awere,134.0,Fell,1968.0,2.71667,32.83333,"(2.716670, 32.833330)"
64,Aztec,2830.0,Fell,1938.0,36.8,-108.0,"(36.800000, -108.000000)"
65,Bachmut,18000.0,Fell,1814.0,48.6,38.0,"(48.600000, 38.000000)"
66,Bahjoi,10322.0,Fell,1934.0,28.48333,78.5,"(28.483330, 78.500000)"
67,Bald Mountain,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.966670, -82.483330)"
68,Baldwyn,345.0,Fell,1922.0,34.5,-88.66667,"(34.500000, -88.666670)"
69,Bali,1000.0,Fell,1907.0,5.38333,16.38333,"(5.383330, 16.383330)"
70,Ban Rong Du,16700.0,Fell,1993.0,16.66667,101.18333,"(16.666670, 101.183330)"
71,Bandong,11500.0,Fell,1871.0,-6.91667,107.6,"(-6.916670, 107.600000)"
72,Bansur,15000.0,Fell,1892.0,27.7,76.33333,"(27.700000, 76.333330)"
73,Banswal,14.0,Fell,1913.0,30.4,78.2,"(30.400000, 78.200000)"
74,Banten,629.0,Fell,1933.0,-6.33333,106.0,"(-6.333330, 106.000000)"
75,Barbotan,6400.0,Fell,1790.0,43.95,-0.05,"(43.950000, -0.050000)"
77,Barea,3200.0,Fell,1842.0,42.38333,-2.5,"(42.383330, -2.500000)"
78,Barnaul,23.2,Fell,1904.0,52.73333,84.08333,"(52.733330, 84.083330)"
79,Barntrup,17.0,Fell,1886.0,52.0,9.1,"(52.000000, 9.100000)"
80,Baroti,4500.0,Fell,1910.0,31.61667,76.8,"(31.616670, 76.800000)"
81,Barwell,44000.0,Fell,1965.0,52.56528,-1.33972,"(52.565280, -1.339720)"
82,Bassikounou,29560.0,Fell,2006.0,15.78333,-5.9,"(15.783330, -5.900000)"
83,Baszkówka,15500.0,Fell,1994.0,52.03333,20.93583,"(52.033330, 20.935830)"
84,Bath,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.416670, -98.316670)"
85,Bath Furnace,86000.0,Fell,1902.0,38.25,-83.75,"(38.250000, -83.750000)"
86,Battle Mountain,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.668130, -117.189130)"
87,Bawku,1557.0,Fell,1989.0,11.08333,-0.18333,"(11.083330, -0.183330)"
88,Baxter,611.0,Fell,1916.0,36.75,-93.5,"(36.750000, -93.500000)"
89,Beardsley,16000.0,Fell,1929.0,39.8,-101.2,"(39.800000, -101.200000)"
90,Beaver Creek,14000.0,Fell,1893.0,51.16667,-117.33333,"(51.166670, -117.333330)"
91,Beddgelert,794.0,Fell,1949.0,53.01667,-4.1,"(53.016670, -4.100000)"
92,Bells,375.0,Fell,1961.0,33.6,-96.46667,"(33.600000, -96.466670)"
94,Benares (a),3700.0,Fell,1798.0,25.36667,82.91667,"(25.366670, 82.916670)"
